id,title,venueId,startDate,endDate,description
1,Mental Health Awareness Day,26,2024-02-15T10:00:00.000Z,2024-02-15T12:00:00.000Z,Promoting mental health awareness and destigmatizing mental health issues.
2,Tech Expo 2024,10,2024-02-16T14:00:00.000Z,2024-02-17T18:00:00.000Z,"Showcasing the latest in technology, innovations, and cutting-edge developments."
3,Science Symposium,6,2024-02-18T09:30:00.000Z,2024-02-19T17:00:00.000Z,"Bringing together scientists, researchers, and enthusiasts to discuss breakthroughs in various scientific fields."
4,Art Festival,29,2024-02-20T12:00:00.000Z,2024-02-22T20:00:00.000Z,"Celebrating diverse forms of art, featuring exhibitions, workshops, and live demonstrations."
5,Business Conference,40,2024-02-23T08:00:00.000Z,2024-02-24T17:00:00.000Z,"Focusing on business strategies, leadership, and fostering collaboration among industry leaders."
6,Fitness Expo,15,2024-02-25T10:00:00.000Z,2024-02-26T16:00:00.000Z,"Promoting a healthy lifestyle with fitness demonstrations, wellness workshops, and nutritional guidance."
7,Food Festival,24,2024-02-27T18:00:00.000Z,2024-02-29T22:00:00.000Z,"A culinary extravaganza featuring diverse cuisines, cooking competitions, and tastings."
8,Environmental Summit,19,2024-02-01T09:00:00.000Z,2024-02-02T18:00:00.000Z,Addressing environmental challenges and exploring sustainable solutions for a greener future.
9,Music Festival,49,2024-02-03T16:00:00.000Z,2024-02-05T23:59:00.000Z,"A celebration of music with live performances, workshops, and a showcase of diverse musical genres."
10,Educational Expo,29,2024-02-06T12:30:00.000Z,2024-02-07T17:30:00.000Z,"Highlighting educational opportunities, resources, and fostering a love for learning."
11,Fashion Show,49,2024-02-08T15:00:00.000Z,2024-02-10T19:00:00.000Z,"Showcasing the latest fashion trends, designs, and creative expressions in the world of fashion."
12,Gaming Convention,6,2024-02-11T11:00:00.000Z,2024-02-13T20:00:00.000Z,"Bringing together gaming enthusiasts, developers, and industry professionals to explore the world of gaming."
13,Film Festival,44,2024-02-14T13:00:00.000Z,2024-02-16T23:59:00.000Z,"Featuring a diverse selection of films, documentaries, and discussions with filmmakers."
14,Startup Summit,3,2024-02-17T09:00:00.000Z,2024-02-19T18:00:00.000Z,"Showcasing innovative startups, networking opportunities, and discussions on entrepreneurship."
15,Literary Symposium,19,2024-02-20T14:00:00.000Z,2024-02-22T16:30:00.000Z,"Exploring literature, authors, and literary discussions in a vibrant symposium setting."
16,Technology Forum,35,2024-02-23T10:30:00.000Z,2024-02-25T17:00:00.000Z,"Bringing together tech experts, thought leaders, and enthusiasts to discuss the latest in technology trends."
17,Health and Wellness Expo,28,2024-02-26T08:00:00.000Z,2024-02-27T16:00:00.000Z,"Promoting holistic health and wellbeing with interactive exhibits, workshops, and health screenings."
18,Automotive Show,50,2024-02-28T12:00:00.000Z,2024-02-29T19:00:00.000Z,"Showcasing the latest automotive innovations, designs, and future trends in the automotive industry."
19,International Trade Fair,45,2024-02-01T09:00:00.000Z,2024-02-02T18:00:00.000Z,"Fostering global trade, connecting businesses, and exploring international opportunities."
20,Holiday Market,15,2024-02-03T17:00:00.000Z,2024-02-08T22:00:00.000Z,"A festive market with holiday-themed stalls, entertainment, and seasonal cheer."
21,Robotics Expo,44,2024-02-09T11:00:00.000Z,2024-02-11T17:00:00.000Z,"Showcasing the latest advancements in robotics, AI, and automation."
22,Culinary Experience,39,2024-02-12T18:00:00.000Z,2024-02-14T21:00:00.000Z,"A culinary journey with tastings, chef demonstrations, and interactive culinary experiences."
23,Travel and Adventure Expo,5,2024-02-15T09:30:00.000Z,2024-02-17T18:00:00.000Z,"Exploring travel destinations, adventure activities, and promoting sustainable tourism."
24,Art and Craft Fair,29,2024-02-18T12:00:00.000Z,2024-02-20T20:00:00.000Z,"Showcasing handmade crafts, artistic creations, and providing a platform for local artists."
