id,name,venue,startDate,endDate
1,"Mental Health Awareness Day","Sir Bob Building","2024-02-15T10:00:00.000Z","2024-02-15T12:00:00.000Z"
2,"Tech Expo 2024","Innovate Center","2024-02-16T14:00:00.000Z","2024-02-17T18:00:00.000Z"
3,"Science Symposium","Discovery Hall","2024-02-18T09:30:00.000Z","2024-02-19T17:00:00.000Z"
4,"Art Festival","Creative Arts Plaza","2024-02-20T12:00:00.000Z","2024-02-22T20:00:00.000Z"
5,"Business Conference","Commerce Hub","2024-02-23T08:00:00.000Z","2024-02-24T17:00:00.000Z"
6,"Fitness Expo","Health & Wellness Center","2024-02-25T10:00:00.000Z","2024-02-26T16:00:00.000Z"
7,"Food Festival","Culinary Square","2024-02-27T18:00:00.000Z","2024-02-29T22:00:00.000Z"
8,"Environmental Summit","Green Convention Center","2024-02-01T09:00:00.000Z","2024-02-02T18:00:00.000Z"
9,"Music Festival","Harmony Park","2024-02-03T16:00:00.000Z","2024-02-05T23:59:00.000Z"
10,"Educational Expo","Learning Pavilion","2024-02-06T12:30:00.000Z","2024-02-07T17:30:00.000Z"
11,"Fashion Show","Chic Arena","2024-02-08T15:00:00.000Z","2024-02-10T19:00:00.000Z"
12,"Gaming Convention","Pixel Palace","2024-02-11T11:00:00.000Z","2024-02-13T20:00:00.000Z"
13,"Film Festival","Cinema City","2024-02-14T13:00:00.000Z","2024-02-16T23:59:00.000Z"
14,"Startup Summit","Innovation Tower","2024-02-17T09:00:00.000Z","2024-02-19T18:00:00.000Z"
15,"Literary Symposium","Word Haven","2024-02-20T14:00:00.000Z","2024-02-22T16:30:00.000Z"
16,"Technology Forum","Tech Plaza","2024-02-23T10:30:00.000Z","2024-02-25T17:00:00.000Z"
17,"Health and Wellness Expo","Wellbeing Center","2024-02-26T08:00:00.000Z","2024-02-27T16:00:00.000Z"
18,"Automotive Show","Speed Circuit","2024-02-28T12:00:00.000Z","2024-02-29T19:00:00.000Z"
19,"International Trade Fair","Global Pavilion","2024-02-01T09:00:00.000Z","2024-02-02T18:00:00.000Z"
20,"Holiday Market","Festive Square","2024-02-03T17:00:00.000Z","2024-02-08T22:00:00.000Z"
21,"Robotics Expo","Tech Innovation Hub","2024-02-09T11:00:00.000Z","2024-02-11T17:00:00.000Z"
22,"Culinary Experience","Taste Buds Arena","2024-02-12T18:00:00.000Z","2024-02-14T21:00:00.000Z"
23,"Travel and Adventure Expo","Explore Dome","2024-02-15T09:30:00.000Z","2024-02-17T18:00:00.000Z"
24,"Art and Craft Fair","Creative Corner","2024-02-18T12:00:00.000Z","2024-02-20T20:00:00.000Z"
25,"Digital Marketing Summit","Digital Arena","2024-02-21T08:00:00.000Z","2024-02-22T17:00:00.000Z"
26,"Innovation Conference","Future Thinkers Hall","2024-02-23T10:00:00.000Z","2024-02-24T16:00:00.000Z"
27,"Fashion Exhibition","Style Showcase","2024-02-25T18:00:00.000Z","2024-02-28T22:00:00.000Z"
28,"Environmental Awareness Symposium","Eco Center","2024-02-29T09:00:00.000Z","2024-03-01T18:00:00.000Z"
29,"Jazz Festival","Soulful Park","2024-02-02T16:00:00.000Z","2024-02-04T23:59:00.000Z"
30,"Education Fair","Learn and Grow Plaza","2024-02-05T12:30:00.000Z","2024-02-06T17:30:00.000Z"
31,"Virtual Reality Expo","VR World","2024-02-07T15:00:00.000Z","2024-02-09T19:00:00.000Z"
32,"E-Sports Championship","Game Arena","2024-02-10T11:00:00.000Z","2024-02-12T20:00:00.000Z"
33,"International Film Festival","Cinematic City","2024-02-13T13:00:00.000Z","2024-02-15T23:59:00.000Z"
34,"Entrepreneurship Summit","Business Nexus","2024-02-16T09:00:00.000Z","2024-02-18T18:00:00.000Z"
35,"Book Fair","Literary Land","2024-02-19T14:00:00.000Z","2024-02-21T16:30:00.000Z"
36,"AI and Robotics Conference","Tech Frontier","2024-02-22T10:30:00.000Z","2024-02-24T17:00:00.000Z"
37,"Wellness and Health Expo","Holistic Haven","2024-02-25T08:00:00.000Z","2024-02-26T16:00:00.000Z"
38,"Automobile Exhibition","Drive Pavilion","2024-02-27T12:00:00.000Z","2024-02-28T19:00:00.000Z"
39,"Global Trade Fair","World Pavilion","2024-02-29T09:00:00.000Z","2024-03-01T18:00:00.000Z"
40,"Winter Wonderland","Frosty Fairground","2024-02-01T17:00:00.000Z","2024-02-06T22:00:00.000Z"
41,"Space and Astronomy Expo","Celestial Dome","2024-02-07T11:00:00.000Z","2024-02-09T17:00:00.000Z"
42,"Gourmet Food Festival","Delicious Delight Plaza","2024-02-10T18:00:00.000Z","2024-02-12T21:00:00.000Z"
43,"Adventure Travel Expo","Adventurous Arena","2024-02-13T09:30:00.000Z","2024-02-15T18:00:00.000Z"
44,"Handmade Crafts Fair","Artistic Alley","2024-02-16T12:00:00.000Z","2024-02-18T20:00:00.000Z"
45,"Digital Marketing Conference","Digital Dynamo Hall","2024-02-19T08:00:00.000Z","2024-02-20T17:00:00.000Z"
46,"Innovation Symposium","Future Insights Hall","2024-02-21T10:00:00.000Z","2024-02-22T16:00:00.000Z"
47,"Fashion Design Exhibition","Style Studio","2024-02-23T18:00:00.000Z","2024-02-26T22:00:00.000Z"
48,"Environmental Sustainability Summit","Eco Solutions Center","2024-02-27T09:00:00.000Z","2024-02-28T18:00:00.000Z"
49,"Blues Music Festival","Blissful Blues Park","2024-02-29T16:00:00.000Z","2024-03-02T23:59:00.000Z"
50,"Education Expo","Learn and Excel Pavilion","2024-02-03T12:30:00.000Z","2024-02-04T17:30:00.000Z"
51,"Virtual Reality Showcase","VR Experience Zone","2024-02-05T15:00:00.000Z","2024-02-07T19:00:00.000Z"
52,"E-Sports Tournament","Game Master Arena","2024-02-08T11:00:00.000Z","2024-02-10T20:00:00.000Z"
53,"International Short Film Festival","Cinematic Celebration City","2024-02-11T13:00:00.000Z","2024-02-13T23:59:00.000Z"
54,"Entrepreneurship Summit","Business Brilliance Nexus","2024-02-14T09:00:00.000Z","2024-02-16T18:00:00.000Z"
55,"Book Fair","Literary Love Land","2024-02-17T14:00:00.000Z","2024-02-19T16:30:00.000Z"
56,"AI and Robotics Exhibition","Tech Marvel Frontier","2024-02-20T10:30:00.000Z","2024-02-22T17:00:00.000Z"
57,"Wellness and Lifestyle Expo","Holistic Harmony Haven","2024-02-23T08:00:00.000Z","2024-02-24T16:00:00.000Z"
58,"Automotive Innovation Fair","Drive into the Future Pavilion","2024-02-25T12:00:00.000Z","2024-02-26T19:00:00.000Z"
59,"Global Trade Fair","World of Opportunities Pavilion","2024-02-27T09:00:00.000Z","2024-02-28T18:00:00.000Z"
60,"Winter Wonderland","Frosty Fairground","2024-02-29T17:00:00.000Z","2024-03-05T22:00:00.000Z"
61,"Space Exploration and Astronomy Expo","Celestial Wonder Dome","2024-02-06T11:00:00.000Z","2024-02-08T17:00:00.000Z"
62,"Gourmet Delights Culinary Festival","Delicious Delicacies Culinary Plaza","2024-02-09T18:00:00.000Z","2024-02-11T21:00:00.000Z"
63,"Extreme Adventure and Travel Extravaganza","Adrenaline Rush Adventure Arena","2024-02-12T09:30:00.000Z","2024-02-14T18:00:00.000Z"
64,"Artisan Crafts and Handmade Arts Fair","Artistic Achievements and Handcrafted Arts Alley","2024-02-15T12:00:00.000Z","2024-02-17T20:00:00.000Z"
65,"Digital Marketing Mastery and Trends Conference","Digital Dynamo Mastery and Marketing Trends Hall","2024-02-18T08:00:00.000Z","2024-02-19T17:00:00.000Z"
66,"Future Innovations and Technology Symposium","NextGen Insights and Technology Hall","2024-02-20T10:00:00.000Z","2024-02-21T16:00:00.000Z"
67,"Fashion Forward Design and Trends Exhibition","Style Vision Studio and Fashion Trends Zone","2024-02-22T18:00:00.000Z","2024-02-25T22:00:00.000Z"
68,"Environmental Sustainability and Green Living Summit","Eco Harmony Solutions and Sustainable Living Center","2024-02-26T09:00:00.000Z","2024-02-27T18:00:00.000Z"
69,"Jazz and Blues Music Festival","Harmonious Jazz and Blissful Blues Music Park","2024-02-28T16:00:00.000Z","2024-03-01T23:59:00.000Z"
70,"Education Excellence Expo","Learn and Thrive Pavilion","2024-02-03T12:30:00.000Z","2024-02-04T17:30:00.000Z"
71,"Virtual Reality World Showcase","VR World Experience Zone","2024-02-05T15:00:00.000Z","2024-02-07T19:00:00.000Z"
72,"E-Sports Championship Tournament","Game Master Ultimate Arena","2024-02-08T11:00:00.000Z","2024-02-10T20:00:00.000Z"
73,"International Documentary Film Festival","Cinematic Realities Celebration City","2024-02-11T13:00:00.000Z","2024-02-13T23:59:00.000Z"
74,"Entrepreneurial Excellence and Innovation Summit","Business Brilliance and Future Nexus","2024-02-14T09:00:00.000Z","2024-02-16T18:00:00.000Z"
